;EN;ES
Feedback;Help us with your Feedback!;Ayúdamos con tu Feedback!
niceQuestion;Nice Question!;Pregunta genial!
badGrammar;Bad grammar;Gramática incorrecta
vulgarWords;Vulgar words;Palabras vulgares
thanksFeedback;Thanks for the Feedbak!;Gracias por el Feedbak!
